,Model Name,Accuracy,Specificity,Recall,Precision,F1,False Positives,False Negatives,ROC-AUC
0,RandomForestClassifier() + Tvec,0.8049093136494452,0.6321647189760712,0.9632721202003339,0.7236622073578596,0.8264502267844355,661,66,0.7977184195882027
0,SVC() + Tvec,0.9022490365368542,0.9003895381190874,0.9070673344462994,0.9010503040353787,0.9040488075429839,179,167,0.9037284362826934
0,LogisticRegression() + Tvec,0.8984097569506145,0.9176405119643851,0.8809126321647189,0.9145002888503755,0.8973922902494331,148,214,0.8992765720645521
0,DecisionTreeClassifier() + Tvec,0.8619409727804621,0.8274902615470228,0.9020589872008904,0.8394614189539099,0.8696351931330472,310,176,0.8647746243739565
0,KNeighborsClassifier() + Tvec,0.5577184703806185,0.18530884808013356,0.9671675013912076,0.542785758900687,0.6953390678135627,1464,59,0.5762381747356706
0,GradientBoostingClassifier() + Tvec,0.8748281091489275,0.8102392877017252,0.9460211463550362,0.8329250367466928,0.8858780614903595,341,97,0.8781302170283806
0,MultinomialNB() + Tvec,0.8875780713061447,0.9332220367278798,0.8397328881469115,0.9263351749539595,0.8809106830122592,120,288,0.8864774624373957
0,RandomForestClassifier() + Cvec,0.7981895636656635,0.6366165831942125,0.9682804674457429,0.7271207689093189,0.8305489260143198,653,57,0.8024485253199778
0,SVC() + Cvec,0.872362170003883,0.8063439065108514,0.9476905954368392,0.8303266699171136,0.8851351351351351,348,94,0.8770172509738452
0,LogisticRegression() + Cvec,0.8918297197001536,0.8458542014468559,0.9493600445186422,0.8603126575895108,0.9026455026455027,277,91,0.897607122982749
0,DecisionTreeClassifier() + Cvec,0.869345935685133,0.8258208124652198,0.9170840289371174,0.8403875573686894,0.8770622671633848,313,149,0.8714524207011686
0,KNeighborsClassifier() + Cvec,0.7639139685467713,0.6360601001669449,0.9220923761825265,0.7170056252704456,0.8067185978578383,654,140,0.7790762381747357
0,GradientBoostingClassifier() + Cvec,0.8701674766432465,0.7924318308291597,0.9627156371730662,0.8226343319067998,0.8871794871794871,373,67,0.8775737340011128
0,MultinomialNB() + Cvec,0.8922399260631941,0.9220923761825265,0.8603227601558152,0.9169632265717675,0.8877404536319266,140,251,0.8912075681691707
